_url,_position,constituency,party,candidate,votes,votes/_source,share,share/_source
http://www.bbc.co.uk/news/politics/constituencies/S14000004,1,Angus,,,,,,
http://www.bbc.co.uk/news/politics/constituencies/S14000004,2,"Scottish National Party (SNP) , with candidate Mike Weir , have the following results: 24,130 total votes taken. 54.2% share of the total vote +14.7% change in share of the votes",(SNP),", with candidate Mike Weir",24130,"24,130",54.2,54.2
http://www.bbc.co.uk/news/politics/constituencies/S14000004,3,"Conservative (CON) , with candidate Derek Wann , have the following results: 12,900 total votes taken. 29.0% share of the total vote -1.9% change in share of the votes",(CON),", with candidate Derek Wann",12900,"12,900",29,29
http://www.bbc.co.uk/news/politics/constituencies/S14000004,4,"Labour (LAB) , with candidate Gerard McMahon , have the following results: 3,919 total votes taken. 8.8% share of the total vote -8.4% change in share of the votes",(LAB),", with candidate Gerard McMahon",3919,"3,919",8.8,8.8
http://www.bbc.co.uk/news/politics/constituencies/S14000004,5,"UKIP (UKIP) , with candidate Calum Walker , have the following results: 1,355 total votes taken. 3.0% share of the total vote +1.5% change in share of the votes",(UKIP),", with candidate Calum Walker",1355,"1,355",3,3
http://www.bbc.co.uk/news/politics/constituencies/S14000004,6,"Liberal Democrat (LD) , with candidate Sanjay Samani , have the following results: 1,216 total votes taken. 2.7% share of the total vote -8.0% change in share of the votes",(LD),", with candidate Sanjay Samani",1216,"1,216",2.7,2.7
http://www.bbc.co.uk/news/politics/constituencies/S14000004,7,"Green Party (GRN) , with candidate David Mumford , have the following results: 965 total votes taken. 2.2% share of the total vote +2.2% change in share of the votes",(GRN),", with candidate David Mumford",965,965,2.2,2.2
http://www.bbc.co.uk/news/politics/constituencies/N06000007,1,Fermanagh & South Tyrone,,,,,,
http://www.bbc.co.uk/news/politics/constituencies/N06000007,2,"Ulster Unionist Party (UUP) , with candidate Tom Elliott , have the following results: 23,608 total votes taken. 46.4% share of the total vote +46.4% change in share of the votes",(UUP),", with candidate Tom Elliott",23608,"23,608",46.4,46.4
http://www.bbc.co.uk/news/politics/constituencies/N06000007,3,"Sinn Fein (SF) , with candidate Michelle Gildernew , have the following results: 23,078 total votes taken. 45.4% share of the total vote -0.1% change in share of the votes",(SF),", with candidate Michelle Gildernew",23078,"23,078",45.4,45.4
http://www.bbc.co.uk/news/politics/constituencies/N06000007,4,"Social Democratic & Labour Party (SDLP) , with candidate John Coyle , have the following results: 2,732 total votes taken. 5.4% share of the total vote -2.3% change in share of the votes",(SDLP),", with candidate John Coyle",2732,"2,732",5.4,5.4
http://www.bbc.co.uk/news/politics/constituencies/N06000007,5,"Green Party (GRN) , with candidate Tanya Jones , have the following results: 788 total votes taken. 1.5% share of the total vote +1.5% change in share of the votes",(GRN),", with candidate Tanya Jones",788,788,1.5,1.5
http://www.bbc.co.uk/news/politics/constituencies/N06000007,6,"Alliance Party (APNI) , with candidate Hannah Su , have the following results: 658 total votes taken. 1.3% share of the total vote +0.4% change in share of the votes",(APNI),", with candidate Hannah Su",658,658,1.3,1.3
http://www.bbc.co.uk/news/politics/constituencies/W07000049,1,Aberavon,,,,,,
http://www.bbc.co.uk/news/politics/constituencies/W07000049,2,"Labour (LAB) , with candidate Stephen Kinnock , have the following results: 15,416 total votes taken. 48.9% share of the total vote -3.0% change in share of the votes",(LAB),", with candidate Stephen Kinnock",15416,"15,416",48.9,48.9
http://www.bbc.co.uk/news/politics/constituencies/W07000049,3,"UKIP (UKIP) , with candidate Peter Bush , have the following results: 4,971 total votes taken. 15.8% share of the total vote +14.2% change in share of the votes",(UKIP),", with candidate Peter Bush",4971,"4,971",15.8,15.8
http://www.bbc.co.uk/news/politics/constituencies/W07000049,4,"Conservative (CON) , with candidate Edward Yi He , have the following results: 3,742 total votes taken. 11.9% share of the total vote -2.4% change in share of the votes",(CON),", with candidate Edward Yi He",3742,"3,742",11.9,11.9
http://www.bbc.co.uk/news/politics/constituencies/W07000049,5,"Plaid Cymru (PC) , with candidate Duncan Higgitt , have the following results: 3,663 total votes taken. 11.6% share of the total vote +4.5% change in share of the votes",(PC),", with candidate Duncan Higgitt",3663,"3,663",11.6,11.6
http://www.bbc.co.uk/news/politics/constituencies/W07000049,6,"Liberal Democrat (LD) , with candidate Helen Clarke , have the following results: 1,397 total votes taken. 4.4% share of the total vote -11.8% change in share of the votes",(LD),", with candidate Helen Clarke",1397,"1,397",4.4,4.4
http://www.bbc.co.uk/news/politics/constituencies/W07000049,7,"Independent (IND) , with candidate Captain Beany , have the following results: 1,137 total votes taken. 3.6% share of the total vote +3.6% change in share of the votes",(IND),", with candidate Captain Beany",1137,"1,137",3.6,3.6
http://www.bbc.co.uk/news/politics/constituencies/W07000049,8,"Green Party (GRN) , with candidate Jonathan Tier , have the following results: 711 total votes taken. 2.3% share of the total vote +2.3% change in share of the votes",(GRN),", with candidate Jonathan Tier",711,711,2.3,2.3
http://www.bbc.co.uk/news/politics/constituencies/W07000049,9,"Socialist Labour Party (SLP) , with candidate Andrew Jordan , have the following results: 352 total votes taken. 1.1% share of the total vote +1.1% change in share of the votes",(SLP),", with candidate Andrew Jordan",352,352,1.1,1.1
http://www.bbc.co.uk/news/politics/constituencies/W07000049,10,"TUSC (TUSC) , with candidate Owen Herbert , have the following results: 134 total votes taken. 0.4% share of the total vote +0.4% change in share of the votes",(TUSC),", with candidate Owen Herbert",134,134,0.4,0.4
http://www.bbc.co.uk/news/politics/constituencies/E14001008,1,Vauxhall,,,,,,
http://www.bbc.co.uk/news/politics/constituencies/E14001008,2,"Labour (LAB) , with candidate Kate Hoey , have the following results: 25,778 total votes taken. 53.8% share of the total vote +4.0% change in share of the votes",(LAB),", with candidate Kate Hoey",25778,"25,778",53.8,53.8
http://www.bbc.co.uk/news/politics/constituencies/E14001008,3,"Conservative (CON) , with candidate James Bellis , have the following results: 13,070 total votes taken. 27.3% share of the total vote +5.7% change in share of the votes",(CON),", with candidate James Bellis",13070,"13,070",27.3,27.3
http://www.bbc.co.uk/news/politics/constituencies/E14001008,4,"Green Party (GRN) , with candidate Gulnar Hasnain , have the following results: 3,658 total votes taken. 7.6% share of the total vote +6.0% change in share of the votes",(GRN),", with candidate Gulnar Hasnain",3658,"3,658",7.6,7.6
http://www.bbc.co.uk/news/politics/constituencies/E14001008,5,"Liberal Democrat (LD) , with candidate Adrian HyyrylÃ_inen-Trett , have the following results: 3,312 total votes taken. 6.9% share of the total vote -18.2% change in share of the votes",(LD),", with candidate Adrian HyyrylÃ_inen-Trett",3312,"3,312",6.9,6.9
http://www.bbc.co.uk/news/politics/constituencies/E14001008,6,"UKIP (UKIP) , with candidate Ace Nnorom , have the following results: 1,385 total votes taken. 2.9% share of the total vote +2.9% change in share of the votes",(UKIP),", with candidate Ace Nnorom",1385,"1,385",2.9,2.9
http://www.bbc.co.uk/news/politics/constituencies/E14001008,7,"Pirate Party (PRTE) , with candidate Mark Chapman , have the following results: 201 total votes taken. 0.4% share of the total vote +0.4% change in share of the votes",(PRTE),", with candidate Mark Chapman",201,201,0.4,0.4
http://www.bbc.co.uk/news/politics/constituencies/E14001008,8,"Left Unity (LU) , with candidate Simon Hardy , have the following results: 188 total votes taken. 0.4% share of the total vote +0.4% change in share of the votes",(LU),", with candidate Simon Hardy",188,188,0.4,0.4
http://www.bbc.co.uk/news/politics/constituencies/E14001008,9,"Cannabis Is Safer Than Alcohol (CSA) , with candidate Louis Jensen , have the following results: 164 total votes taken. 0.3% share of the total vote +0.3% change in share of the votes",(CSA),", with candidate Louis Jensen",164,164,0.3,0.3
http://www.bbc.co.uk/news/politics/constituencies/E14001008,10,"Whig Party (WHIG) , with candidate Waleed Ghani , have the following results: 103 total votes taken. 0.2% share of the total vote +0.2% change in share of the votes",(WHIG),", with candidate Waleed Ghani",103,103,0.2,0.2
http://www.bbc.co.uk/news/politics/constituencies/E14001008,11,"Socialist Party GB (SPGB) , with candidate Danny Lambert , have the following results: 82 total votes taken. 0.2% share of the total vote -0.2% change in share of the votes",(SPGB),", with candidate Danny Lambert",82,82,0.2,0.2
http://www.bbc.co.uk/news/politics/constituencies/E14000539,1,Banbury,,,,,,
http://www.bbc.co.uk/news/politics/constituencies/E14000539,2,"Conservative (CON) , with candidate Victoria Prentis , have the following results: 30,749 total votes taken. 53.0% share of the total vote +0.2% change in share of the votes",(CON),", with candidate Victoria Prentis",30749,"30,749",53,53
http://www.bbc.co.uk/news/politics/constituencies/E14000539,3,"Labour (LAB) , with candidate Sean Woodcock , have the following results: 12,354 total votes taken. 21.3% share of the total vote +2.1% change in share of the votes",(LAB),", with candidate Sean Woodcock",12354,"12,354",21.3,21.3
http://www.bbc.co.uk/news/politics/constituencies/E14000539,4,"UKIP (UKIP) , with candidate Dickie Bird , have the following results: 8,050 total votes taken. 13.9% share of the total vote +8.9% change in share of the votes",(UKIP),", with candidate Dickie Bird",8050,"8,050",13.9,13.9
http://www.bbc.co.uk/news/politics/constituencies/E14000539,5,"Liberal Democrat (LD) , with candidate John Howson , have the following results: 3,440 total votes taken. 5.9% share of the total vote -14.5% change in share of the votes",(LD),", with candidate John Howson",3440,"3,440",5.9,5.9
http://www.bbc.co.uk/news/politics/constituencies/E14000539,6,"Green Party (GRN) , with candidate Ian Middleton , have the following results: 2,686 total votes taken. 4.6% share of the total vote +2.9% change in share of the votes",(GRN),", with candidate Ian Middleton",2686,"2,686",4.6,4.6
http://www.bbc.co.uk/news/politics/constituencies/E14000539,7,"National Health Action (NHA) , with candidate Roseanne Edwards , have the following results: 729 total votes taken. 1.3% share of the total vote +1.3% change in share of the votes",(NHA),", with candidate Roseanne Edwards",729,729,1.3,1.3
http://www.bbc.co.uk/news/politics/constituencies/E14000978,1,Streatham,,,,,,
http://www.bbc.co.uk/news/politics/constituencies/E14000978,2,"Labour (LAB) , with candidate Chuka Umunna , have the following results: 26,474 total votes taken. 53.0% share of the total vote +10.2% change in share of the votes",(LAB),", with candidate Chuka Umunna",26474,"26,474",53,53
http://www.bbc.co.uk/news/politics/constituencies/E14000978,3,"Conservative (CON) , with candidate Kim Caddy , have the following results: 12,540 total votes taken. 25.1% share of the total vote +6.8% change in share of the votes",(CON),", with candidate Kim Caddy",12540,"12,540",25.1,25.1
http://www.bbc.co.uk/news/politics/constituencies/E14000978,4,"Liberal Democrat (LD) , with candidate Amna Ahmad , have the following results: 4,491 total votes taken. 9.0% share of the total vote -26.8% change in share of the votes",(LD),", with candidate Amna Ahmad",4491,"4,491",9,9
http://www.bbc.co.uk/news/politics/constituencies/E14000978,5,"Green Party (GRN) , with candidate Jonathan Bartley , have the following results: 4,421 total votes taken. 8.9% share of the total vote +7.0% change in share of the votes",(GRN),", with candidate Jonathan Bartley",4421,"4,421",8.9,8.9
http://www.bbc.co.uk/news/politics/constituencies/E14000978,6,"UKIP (UKIP) , with candidate Bruce Machan , have the following results: 1,602 total votes taken. 3.2% share of the total vote +3.2% change in share of the votes",(UKIP),", with candidate Bruce Machan",1602,"1,602",3.2,3.2
http://www.bbc.co.uk/news/politics/constituencies/E14000978,7,"Cannabis Is Safer Than Alcohol (CSA) , with candidate Artificial Beast , have the following results: 192 total votes taken. 0.4% share of the total vote +0.4% change in share of the votes",(CSA),", with candidate Artificial Beast",192,192,0.4,0.4
http://www.bbc.co.uk/news/politics/constituencies/E14000978,8,"TUSC (TUSC) , with candidate Unjum Mirza , have the following results: 164 total votes taken. 0.3% share of the total vote +0.3% change in share of the votes",(TUSC),", with candidate Unjum Mirza",164,164,0.3,0.3
